Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),TZ_001:Zone People Occupant Count [](TimeStep:ON),TZ_001:Zone People Sensible Heating Rate [W](TimeStep),TZ_001:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),DH:District Heating Hot Water Energy [KJ](TimeStep:ON),DH:District Heating Hot Water Rate [KW](TimeStep:ON),DH:District Heating Inlet Temperature [C](TimeStep:ON),,class,,,,
 01/02  09:45:00,7.515,59.5,587.7225,0.25,19.23779847,580.3142224,154561.5272,171.7350302,64,,64,,,,
 01/02  10:00:00,7.75,65,582.375,0.25,19.25200809,328.5965153,150034.7983,166.7053314,64,,64,,,,
 01/02  10:15:00,7.9825,70.5,577.0275,0.25,19.26248339,147.1519444,148718.9929,165.2433255,64,,64,,,,
 01/02  10:30:00,8.215,76,571.68,0.25,19.27207931,140.1458885,146194.598,162.4384422,64,,64,,,,
 01/02  10:45:00,8.4475,78.25,567.455,0.25,19.27866358,144.6727945,142814.6079,158.6828977,64,,64,,,,
 01/02  11:00:00,8.68,80.5,563.23,0.25,19.27986652,148.8909187,140721.1253,156.3568059,65,,65,,,,
 01/02  11:15:00,8.6875,82.75,559.005,0.25,19.27388099,152.7045151,137644.5155,152.9383506,65,,65,,,,
 01/02  11:30:00,8.695,85,554.78,0.25,19.26648064,156.1257137,136407.8902,151.5643224,65,,65,,,,
 01/02  11:45:00,8.7025,88.75,500.9725,0.25,19.25549523,163.9070918,134602.5947,149.5584386,65,,65,,,,
 01/02  12:00:00,8.71,92.5,447.165,0.25,19.2448458,194.0626353,133539.1344,148.376816,65,,65,,,,
 01/02  12:15:00,8.7175,96.25,393.3575,0.75,57.78250129,207.0493019,128245.0366,142.4944851,65,,65,,,,
 01/02  12:30:00,8.725,100,339.55,0.75,57.75682615,234.4744677,124582.3489,138.4248322,65,,65,,,,
 01/02  12:45:00,8.7325,91.5,353.0875,0.75,57.72075556,292.5341679,122146.1511,135.7179456,65,,65,,,,
 01/02  13:00:00,8.74,83,366.625,0.75,57.76886784,326.3161596,121845.4381,135.3838201,65,,65,,,,
 01/02  13:15:00,8.7475,74.5,380.1625,0.75,57.70849541,351.6267155,121131.2794,134.5903104,65,,65,,,,
 01/02  13:30:00,8.755,66,393.7,0.75,57.72279765,376.0871265,118753.5721,131.9484134,65,,65,,,,
 01/02  13:45:00,8.7625,55.5,394.605,0.75,57.77793382,533.0290558,117764.1823,130.8490915,65,,65,,,,
 01/02  14:00:00,8.77,45,395.51,0.75,57.65218448,565.9319539,117923.3555,131.0259506,65,,65,,,,
 01/02  14:15:00,8.64,34.5,396.415,0.25,19.24819226,554.6768793,123479.9394,137.1999326,65,,65,,,,
 01/02  14:30:00,8.51,24,397.32,0.25,19.21726454,554.835829,127805.561,142.0061789,65,,65,,,,
 01/02  14:45:00,8.38,18,297.99,0.25,19.25219491,442.3683501,130694.3568,145.215952,65,,65,,,,
 01/02  15:00:00,8.25,12,198.66,0.25,19.21844676,312.4476827,135155.3424,150.1726027,65,,65,,,,
 01/02  15:15:00,8.12,6,99.33,0,0,166.6944099,143834.8777,159.8165308,64,,64,,,,
 01/02  15:30:00,7.99,0,0,0,0,0,148611.6064,165.1240072,64,,64,,,,
 01/02  15:45:00,7.86,0,0,0,0,0,152520.0129,169.466681,64,,64,,,,
 01/02  16:00:00,7.73,0,0,0,0,0,155920.6607,173.2451786,64,,64,,,,
 01/02  16:15:00,7.6025,0,0,0.25,19.24582671,0,153805.5756,170.895084,64,,64,,,,
 01/02  16:30:00,7.475,0,0,0.25,19.23834925,0,152532.1869,169.4802077,64,,64,,,,
 01/02  16:45:00,7.3475,0,0,0.25,19.26510947,0,156092.4952,173.4361057,64,,64,,,,
 01/02  17:00:00,7.22,0,0,0.25,19.2625976,0,153868.7442,170.9652713,64,,64,,,,
 01/02  17:15:00,7.2675,0,0,0.5,38.48337677,0,154552.7499,171.7252777,64,,64,,,,
 01/02  17:30:00,7.315,0,0,0.5,38.4318208,0,153078.1038,170.086782,64,,64,,,,
 01/02  17:45:00,7.3625,0,0,0.5,38.49508213,0,152076.8203,168.9742448,64,,64,,,,
 01/02  18:00:00,7.41,0,0,0.5,38.51459985,0,154939.9008,172.1554453,64,,64,,,,
 01/02  18:15:00,7.46,0,0,1,76.98176062,0,151112.5747,167.9028608,64,,64,,,,
 01/02  18:30:00,7.51,0,0,1,76.87974499,0,147046.0424,163.3844915,64,,64,,,,
 01/02  18:45:00,7.56,0,0,1,76.99268999,0,148318.5531,164.7983923,64,,64,,,,
 01/02  19:00:00,7.61,0,0,1,77.01463231,0,150536.8156,167.2631284,64,,64,,,,
 01/02  19:15:00,7.6575,0,0,0.75,57.71481072,0,153678.5823,170.7539803,64,,64,,,,
 01/02  19:30:00,7.705,0,0,0.75,57.66850384,0,154841.0006,172.0455562,64,,64,,,,
 01/02  19:45:00,7.7525,0,0,0.75,57.80014142,0,158283.3293,175.8703658,64,,64,,,,
 01/02  20:00:00,7.8,0,0,0.75,57.86024368,0,159178.1283,176.864587,64,,64,,,,
 01/02  20:15:00,7.8625,0,0,1,77.13016857,0,155628.9612,172.921068,64,,64,,,,
